ICD9PROC,CCSPROC
01.01,1
01.09,1
01.21,1
01.22,1
01.23,1
01.24,1
01.25,1
01.26,1
01.27,1
01.28,1
01.31,1
01.32,1
01.39,1
01.41,1
01.42,1
01.51,1
01.52,1
01.53,1
01.59,1
02.31,2
02.32,2
02.33,2
02.34,2
02.35,2
02.39,2
02.42,2
02.43,2
03.02,3
03.09,3
80.5,3
80.50,3
80.51,3
80.59,3
84.59,3
84.60,3
84.61,3
84.62,3
84.63,3
84.64,3
84.65,3
84.66,3
84.67,3
84.68,3
84.69,3
84.80,3
84.81,3
84.82,3
84.83,3
84.84,3
84.85,3
03.31,4
03.8,5
03.90,5
03.91,5
03.92,5
03.93,5
03.94,5
04.43,6
04.44,6
04.49,6
01.11,7
01.12,7
01.13,7
01.14,7
01.15,7
01.18,7
01.19,7
03.32,7
03.39,7
04.11,7
04.12,7
04.19,7
05.11,7
05.19,7
01.02,8
02.41,8
02.95,8
03.21,8
03.95,8
03.96,8
04.80,8
04.81,8
04.89,8
05.31,8
05.32,8
05.39,8
01.20,9
01.29,9
01.6,9
02.01,9
02.02,9
02.03,9
02.04,9
02.05,9
02.06,9
02.07,9
02.11,9
02.12,9
02.13,9
02.14,9
02.2,9
02.21,9
02.22,9
02.91,9
02.92,9
02.93,9
02.94,9
02.96,9
02.99,9
03.01,9
03.1,9
03.29,9
03.4,9
03.51,9
03.52,9
03.53,9
03.59,9
03.6,9
03.71,9
03.72,9
03.79,9
03.97,9
03.98,9
03.99,9
04.01,9
04.02,9
04.03,9
04.04,9
04.05,9
04.06,9
04.07,9
04.2,9
04.3,9
04.41,9
04.42,9
04.5,9
04.6,9
04.71,9
04.72,9
04.73,9
04.74,9
04.75,9
04.76,9
04.79,9
04.91,9
04.92,9
04.93,9
04.99,9
05.0,9
05.21,9
05.22,9
05.23,9
05.24,9
05.25,9
05.29,9
05.81,9
05.89,9
05.9,9
17.61,9
80.53,9
80.54,9
84.58,9
86.94,9
86.95,9
86.96,9
86.97,9
86.98,9
06.2,10
06.31,10
06.39,10
06.4,10
06.50,10
06.51,10
06.52,10
06.6,10
06.11,11
06.12,11
06.13,11
06.19,11
07.00,11
07.01,11
07.02,11
07.11,11
07.12,11
07.13,11
07.14,11
07.15,11
07.16,11
07.17,11
07.19,11
07.51,11
07.71,11
07.91,11
06.01,12
06.02,12
06.09,12
06.7,12
06.81,12
06.89,12
06.91,12
06.92,12
06.93,12
06.94,12
06.95,12
06.98,12
06.99,12
