ICD9CM,CCSCM
010.00,1
010.01,1
010.02,1
010.03,1
010.04,1
010.05,1
010.06,1
010.10,1
010.11,1
010.12,1
010.13,1
010.14,1
010.15,1
010.16,1
010.80,1
010.81,1
010.82,1
010.83,1
010.84,1
010.85,1
010.86,1
010.90,1
010.91,1
010.92,1
010.93,1
010.94,1
010.95,1
010.96,1
011.00,1
011.01,1
011.02,1
011.03,1
011.04,1
011.05,1
011.06,1
011.10,1
011.11,1
011.12,1
011.13,1
011.14,1
011.15,1
011.16,1
011.20,1
011.21,1
011.22,1
011.23,1
011.24,1
011.25,1
011.26,1
011.30,1
011.31,1
011.32,1
011.33,1
011.34,1
011.35,1
011.36,1
011.40,1
011.41,1
011.42,1
011.43,1
011.44,1
011.45,1
011.46,1
011.50,1
011.51,1
011.52,1
011.53,1
011.54,1
011.55,1
011.56,1
011.60,1
011.61,1
011.62,1
011.63,1
011.64,1
011.65,1
011.66,1
011.70,1
011.71,1
011.72,1
011.73,1
011.74,1
011.75,1
011.76,1
011.80,1
011.81,1
011.82,1
011.83,1
011.84,1
011.85,1
011.86,1
011.90,1
011.91,1
011.92,1
011.93,1
011.94,1
011.95,1
011.96,1
012.00,1
012.01,1
012.02,1
012.03,1
012.04,1
012.05,1
012.06,1
012.10,1
012.11,1
012.12,1
012.13,1
012.14,1
012.15,1
012.16,1
012.20,1
012.21,1
012.22,1
012.23,1
012.24,1
012.25,1
012.26,1
012.30,1
012.31,1
012.32,1
012.33,1
012.34,1
012.35,1
012.36,1
012.80,1
012.81,1
012.82,1
012.83,1
012.84,1
012.85,1
012.86,1
013.00,1
013.01,1
013.02,1
013.03,1
013.04,1
013.05,1
013.06,1
013.10,1
013.11,1
013.12,1
013.13,1
013.14,1
013.15,1
013.16,1
013.20,1
013.21,1
013.22,1
013.23,1
013.24,1
013.25,1
013.26,1
013.30,1
013.31,1
013.32,1
013.33,1
013.34,1
013.35,1
013.36,1
013.40,1
013.41,1
013.42,1
013.43,1
013.44,1
013.45,1
013.46,1
013.50,1
013.51,1
013.52,1
013.53,1
013.54,1
013.55,1
013.56,1
013.60,1
013.61,1
013.62,1
013.63,1
013.64,1
013.65,1
013.66,1
013.80,1
013.81,1
013.82,1
013.83,1
013.84,1
013.85,1
013.86,1
013.90,1
013.91,1
013.92,1
013.93,1
013.94,1
013.95,1
013.96,1
014.00,1
014.01,1
014.02,1
014.03,1
014.04,1
014.05,1
014.06,1
014.80,1
014.81,1
014.82,1
014.83,1
014.84,1
014.85,1
014.86,1
015.00,1
015.01,1
015.02,1
015.03,1
015.04,1
015.05,1
015.06,1
015.10,1
015.11,1
015.12,1
015.13,1
015.14,1
015.15,1
015.16,1
015.20,1
015.21,1
015.22,1
015.23,1
015.24,1
015.25,1
015.26,1
015.50,1
015.51,1
015.52,1
015.53,1
015.54,1
015.55,1
015.56,1
015.60,1
015.61,1
015.62,1
015.63,1
015.64,1
015.65,1
015.66,1
015.70,1
015.71,1
015.72,1
015.73,1
015.74,1
015.75,1
015.76,1
015.80,1
015.81,1
015.82,1
015.83,1
015.84,1
015.85,1
015.86,1
015.90,1
015.91,1
015.92,1
015.93,1
015.94,1
015.95,1
015.96,1
016.00,1
016.01,1
016.02,1
016.03,1
016.04,1
016.05,1
016.06,1
016.10,1
016.11,1
016.12,1
016.13,1
016.14,1
016.15,1
016.16,1
016.20,1
016.21,1
016.22,1
016.23,1
016.24,1
016.25,1
016.26,1
016.30,1
016.31,1
016.32,1
016.33,1
016.34,1
016.35,1
016.36,1
016.40,1
016.41,1
016.42,1
016.43,1
016.44,1
016.45,1
016.46,1
016.50,1
016.51,1
016.52,1
016.53,1
016.54,1
016.55,1
016.56,1
016.60,1
016.61,1
016.62,1
016.63,1
016.64,1
016.65,1
016.66,1
016.70,1
016.71,1
016.72,1
016.73,1
016.74,1
016.75,1
016.76,1
016.90,1
016.91,1
016.92,1
016.93,1
016.94,1
016.95,1
016.96,1
017.00,1
017.01,1
017.02,1
017.03,1
017.04,1
017.05,1
017.06,1
017.10,1
017.11,1
017.12,1
017.13,1
017.14,1
017.15,1
017.16,1
017.20,1
017.21,1
017.22,1
017.23,1
017.24,1
017.25,1
017.26,1
017.30,1
017.31,1
017.32,1
017.33,1
017.34,1
017.35,1
017.36,1
017.40,1
017.41,1
